,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
10,1040,0,0,1,3,0,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,1,2,2,4,0,4,3,6,6,4,3,0,1,1,6,384.0,1.0,5,3,5,5,1965.0,1040,0,1,0,2,1,3,3,0,11200,4,70.0,3,0,5,3,0.0,3,1,0,4,19,0,4,5,2,0,3,0,3,4,8,0,1,5,1040.0,0,1965,1965,2
11,1182,1142,0,1,4,0,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,1,2,2,4,0,4,0,14,15,4,2,2,2,3,6,736.0,3.0,5,0,5,3,2005.0,2324,0,1,0,5,1,0,3,0,11924,4,85.0,0,0,10,3,286.0,4,1,0,9,16,21,4,9,2,0,3,0,3,5,6,0,1,11,1175.0,147,2005,2006,0
12,912,0,0,1,2,0,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,1,2,2,4,0,4,3,6,10,4,3,0,1,1,6,352.0,1.0,5,3,5,5,1962.0,912,0,1,4,2,1,3,3,0,12968,4,72.0,1,0,5,3,0.0,3,1,0,11,19,0,5,5,2,0,3,0,3,4,8,176,1,4,912.0,140,1962,1962,2
13,1494,0,0,1,3,0,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,840.0,3.0,5,2,5,1,2006.0,1494,0,1,0,2,1,2,3,0,10652,4,91.0,0,0,5,3,306.0,4,1,0,10,5,33,4,7,2,0,3,0,1,5,6,0,1,7,1494.0,160,2006,2007,1
14,1253,0,0,1,2,0,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,1,2,2,4,176,4,3,8,8,1,1,1,1,1,6,352.0,1.0,5,2,5,1,1960.0,1253,1,1,4,2,1,3,3,0,10920,0,73.0,0,0,5,3,212.0,2,1,0,7,12,213,4,6,2,0,3,0,3,4,8,0,1,5,1253.0,0,1960,1960,2
15,854,0,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,1,2,2,0,0,4,3,13,14,0,3,0,0,1,6,576.0,2.0,5,3,5,5,1991.0,854,0,1,0,1,1,3,3,0,6120,0,51.0,3,0,8,4,0.0,3,1,0,9,3,112,7,7,2,0,3,0,1,4,8,0,1,5,832.0,48,1929,2001,1
16,1004,0,0,1,2,0,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,1,2,2,4,0,4,3,13,14,4,5,1,1,1,6,480.0,2.0,5,0,5,1,1970.0,1004,0,1,0,2,1,3,3,0,11241,1,73.0,0,0,5,3,180.0,2,3,700,5,12,0,6,6,2,0,3,0,1,4,8,0,1,5,1004.0,0,1970,1970,4
17,1296,0,0,1,2,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,1,2,2,4,0,4,3,8,8,4,3,0,3,2,6,516.0,2.0,5,3,5,4,1967.0,1296,0,1,4,2,2,3,3,0,10791,4,72.0,3,0,15,3,0.0,3,3,500,1,19,0,4,4,2,0,3,0,1,4,8,0,1,6,0.0,0,1967,1967,0
18,1114,0,0,1,3,0,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,1,5,2,4,0,4,3,12,13,4,3,0,2,1,6,576.0,2.0,5,3,5,5,2004.0,1114,1,1,0,2,1,2,3,0,13695,4,66.0,3,0,5,3,0.0,3,1,0,8,20,102,4,5,2,0,3,0,1,4,8,0,1,6,1114.0,0,2004,2004,2
19,1339,0,0,1,3,0,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,1,2,2,4,0,4,3,3,10,2,3,0,1,1,2,294.0,1.0,5,3,5,1,1958.0,1339,0,1,4,2,1,3,3,0,7560,4,70.0,3,0,5,3,0.0,3,1,0,7,12,0,5,5,2,0,3,0,3,0,0,0,1,6,1029.0,0,1958,1965,3
20,1158,1218,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,1,2,2,4,0,4,2,12,13,4,2,1,2,3,6,853.0,3.0,5,2,5,3,2005.0,2376,1,1,0,5,1,2,3,0,14215,0,101.0,0,0,10,3,380.0,2,1,0,2,16,154,4,8,2,0,3,0,1,5,6,0,1,9,1158.0,240,2005,2006,0
21,1108,0,0,0,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,1,2,2,1,205,4,3,13,14,0,2,1,2,1,6,280.0,1.0,5,3,5,1,1930.0,1108,0,1,0,1,1,2,0,0,7449,4,57.0,3,0,8,4,0.0,3,1,0,8,9,0,6,7,0,0,3,0,1,4,8,0,1,6,637.0,0,1930,1950,1
22,1795,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,534.0,2.0,5,2,5,1,2002.0,1795,0,1,0,2,1,2,3,0,9742,4,75.0,3,0,5,3,281.0,2,1,0,11,5,159,4,8,2,0,3,0,3,4,8,0,1,7,1777.0,171,2002,2002,2
23,1060,0,0,1,3,4,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,1,2,2,4,0,4,3,5,5,4,5,1,2,1,6,572.0,2.0,5,3,5,1,1976.0,1060,0,1,4,2,1,3,3,0,4224,4,44.0,3,0,0,4,0.0,3,1,0,8,10,110,6,5,2,0,3,0,1,4,8,0,1,6,1040.0,100,1976,1976,1
24,1060,0,0,1,3,0,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,1,2,2,4,0,2,3,9,10,2,5,1,1,1,6,270.0,1.0,5,3,5,1,1968.0,1060,0,1,0,2,1,2,3,0,8246,4,72.0,0,0,5,3,0.0,3,1,0,7,19,90,7,5,2,0,3,0,1,4,8,0,1,6,1060.0,406,1968,2001,4
25,1600,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,890.0,3.0,5,2,5,1,2007.0,1600,0,1,0,2,1,2,3,0,14230,0,110.0,3,0,5,3,640.0,4,1,0,9,16,56,4,8,2,0,3,0,1,4,8,0,1,7,1566.0,0,2007,2007,3
26,900,0,0,1,3,0,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,1,2,2,4,0,4,3,13,14,4,3,0,1,1,6,576.0,2.0,5,3,5,5,2005.0,900,0,1,4,2,1,2,3,0,7200,0,60.0,3,0,5,3,0.0,3,1,0,7,12,32,6,5,2,0,3,0,1,4,8,0,1,5,900.0,222,1951,2000,4
27,1704,0,0,1,3,0,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,772.0,3.0,5,2,5,1,2008.0,1704,0,1,0,2,1,2,3,0,11478,4,98.0,3,0,5,3,200.0,4,1,0,7,16,50,4,8,2,0,3,0,1,4,8,0,1,7,1704.0,0,2007,2008,4
28,1600,0,0,1,2,0,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,1,2,2,4,0,4,3,8,8,4,2,2,1,1,6,319.0,1.0,5,2,5,1,1957.0,1600,0,1,4,2,1,3,3,0,16321,1,47.0,0,0,5,3,0.0,3,1,0,3,12,258,5,5,2,0,3,0,1,4,8,0,1,6,1484.0,288,1957,1997,0
29,520,0,0,1,1,0,4,3,0.0,0.0,6,6,0.0,0.0,4,520.0,0,1,7,4,87,4,3,8,8,4,3,0,0,1,6,240.0,1.0,5,3,1,5,1920.0,520,0,1,1,2,1,1,3,0,6324,4,60.0,0,0,6,4,0.0,3,1,0,7,3,0,5,4,2,0,3,0,1,4,8,0,1,4,520.0,49,1927,1950,2
30,649,668,0,2,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,649.0,0,1,2,4,172,1,3,3,3,2,3,0,0,1,6,250.0,1.0,1,3,5,5,1920.0,1317,0,1,4,5,1,3,3,0,8500,4,50.0,3,0,11,0,0.0,3,1,0,9,9,54,3,4,0,0,3,0,2,4,8,0,1,6,649.0,0,1920,1950,2
31,1228,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,1228.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,271.0,1.0,5,3,5,1,1966.0,1228,1,1,2,2,1,2,3,0,8544,1,72.0,0,0,5,3,0.0,3,1,0,8,19,65,5,5,2,0,3,0,1,4,8,0,1,6,1228.0,0,1966,2006,2
32,1234,0,0,1,3,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1234.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,484.0,2.0,5,2,5,1,2007.0,1234,0,1,0,2,1,2,3,0,11049,0,85.0,3,0,5,3,0.0,3,1,0,0,5,30,4,8,2,0,3,0,1,4,8,0,1,7,1234.0,0,2007,2007,2
33,1700,0,0,1,4,0,4,3,1018.0,0.0,5,6,0.0,1.0,4,380.0,1,2,2,4,0,4,3,3,3,4,2,1,1,1,6,447.0,2.0,5,2,5,1,1959.0,1700,1,1,2,2,1,2,3,0,10552,4,70.0,0,0,5,3,0.0,3,1,0,6,12,38,4,5,2,0,3,0,3,4,8,0,1,6,1398.0,0,1959,1959,4
34,1561,0,0,1,2,4,4,3,1153.0,0.0,2,6,1.0,0.0,0,408.0,1,2,2,4,0,4,0,8,8,4,2,1,2,2,6,556.0,2.0,5,0,5,1,2005.0,1561,0,1,0,2,1,0,3,0,7313,4,60.0,3,0,0,3,246.0,2,1,0,10,16,47,4,9,2,0,3,0,3,4,8,0,1,6,1561.0,203,2005,2005,1
35,1132,1320,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1117.0,1,2,2,4,0,4,2,12,13,4,2,1,2,3,6,691.0,3.0,5,0,5,3,2004.0,2452,1,1,0,5,1,2,3,0,13418,4,108.0,3,0,10,3,132.0,4,1,0,11,16,32,4,8,2,0,3,0,1,4,8,0,1,9,1117.0,113,2004,2005,0
36,1097,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1097.0,1,2,2,4,0,4,3,12,13,4,3,0,2,1,6,672.0,2.0,5,3,5,1,1995.0,1097,1,1,0,2,1,3,3,0,10859,0,112.0,3,0,5,3,0.0,3,1,0,8,5,64,4,5,2,0,3,0,1,4,8,0,1,6,1097.0,392,1994,1995,3
37,1297,0,0,1,3,0,4,3,1213.0,0.0,5,6,0.0,1.0,4,84.0,1,2,2,4,0,4,3,13,14,4,5,1,1,1,6,498.0,2.0,5,0,5,1,1954.0,1297,0,1,2,2,1,3,3,0,8532,4,74.0,3,0,5,3,650.0,2,1,0,1,12,0,5,5,2,0,3,0,3,4,8,0,1,5,1297.0,0,1954,1990,3
38,1057,0,0,1,3,0,4,3,731.0,0.0,2,6,1.0,0.0,4,326.0,1,2,2,4,0,2,3,12,13,4,3,0,1,1,6,246.0,1.0,5,3,5,5,1953.0,1057,0,1,4,2,1,2,3,0,7922,4,68.0,3,0,5,3,0.0,3,1,0,0,12,52,6,5,2,0,3,0,1,0,8,0,1,5,1057.0,0,1953,2007,4
39,1152,0,0,1,2,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,0,2,2,2,0,4,3,0,10,4,3,0,2,2,6,0.0,0.0,3,1,3,6,0.0,1152,0,1,4,2,2,1,3,0,6040,4,65.0,3,0,15,3,0.0,3,1,0,8,7,0,4,4,0,0,3,0,1,1,8,0,1,6,0.0,0,1955,1955,2
40,1324,0,0,1,3,0,4,3,643.0,0.0,5,6,0.0,0.0,4,445.0,1,2,2,4,0,4,3,13,14,1,5,1,1,2,6,440.0,2.0,5,2,5,1,1965.0,1324,0,1,0,2,1,3,3,0,8658,4,84.0,3,0,5,3,101.0,2,1,0,3,12,138,4,6,2,0,3,0,1,0,8,0,1,6,1088.0,0,1965,1965,0
41,1328,0,0,1,2,0,4,1,967.0,0.0,1,6,0.0,1.0,4,383.0,1,2,2,4,0,2,3,12,13,4,2,2,1,1,6,308.0,1.0,5,2,5,1,1959.0,1328,1,1,2,2,1,3,3,0,16905,4,115.0,3,0,5,3,0.0,3,1,0,9,23,104,5,5,1,0,3,0,1,4,8,0,1,5,1350.0,0,1959,1959,1
42,884,0,0,1,2,0,4,0,747.0,93.0,0,3,1.0,0.0,2,0.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,504.0,2.0,2,2,5,1,1983.0,884,0,1,2,6,1,2,3,0,9180,1,67.0,0,0,14,3,0.0,3,1,0,3,20,0,6,5,2,0,3,0,1,4,8,0,1,5,840.0,240,1983,1983,1
43,938,0,0,1,3,0,4,0,280.0,491.0,3,1,1.0,0.0,2,167.0,1,2,2,4,0,4,3,12,13,2,3,0,1,1,6,308.0,1.0,5,3,5,5,1977.0,938,0,1,4,2,1,3,3,0,9200,1,70.0,0,0,5,3,0.0,3,1,0,9,5,0,5,5,2,0,3,0,3,4,8,0,1,5,938.0,145,1975,1980,2
44,1150,0,0,1,3,0,4,3,179.0,506.0,0,1,1.0,0.0,4,465.0,1,2,2,0,0,4,3,3,14,4,3,0,1,1,6,300.0,1.0,5,2,5,1,1959.0,1150,0,1,0,2,1,3,3,0,7945,4,70.0,3,0,5,3,0.0,3,1,0,7,12,0,5,5,2,0,3,0,1,4,8,0,1,6,1150.0,0,1959,1959,0
45,1752,0,0,1,2,4,4,3,456.0,0.0,2,6,1.0,0.0,0,1296.0,1,2,2,4,0,4,0,8,8,4,2,1,2,2,6,576.0,2.0,5,2,5,1,2005.0,1752,0,1,0,2,1,0,3,0,7658,4,61.0,3,0,0,3,412.0,2,1,0,4,16,82,4,9,2,0,3,0,3,4,8,0,1,6,1752.0,196,2005,2005,4
46,1518,631,0,1,1,0,4,3,1351.0,0.0,2,6,1.0,0.0,0,83.0,1,2,2,4,0,4,2,12,13,4,0,1,2,1,6,670.0,2.0,5,2,5,1,2003.0,2149,1,1,0,0,1,2,3,0,12822,1,48.0,0,0,9,3,0.0,3,1,0,10,11,43,4,7,2,0,3,0,1,0,8,198,1,6,1434.0,168,2003,2003,3
47,1656,0,0,1,3,0,4,0,24.0,0.0,2,6,0.0,0.0,2,1632.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,826.0,3.0,5,2,5,1,2006.0,1656,0,1,0,2,1,2,3,0,11096,4,84.0,3,0,5,1,0.0,3,1,0,9,21,146,4,8,2,0,3,0,1,4,8,0,1,7,1656.0,0,2006,2006,1
48,736,716,0,1,2,1,4,3,0.0,0.0,6,6,0.0,0.0,4,736.0,1,2,2,4,102,4,3,8,8,4,3,0,0,2,6,0.0,0.0,3,1,3,6,0.0,1452,0,1,2,5,3,3,3,0,4456,4,33.0,3,0,4,4,0.0,3,1,0,8,17,0,4,4,0,0,3,0,1,5,6,0,1,8,736.0,0,1920,2008,3
49,955,0,0,1,3,0,4,3,763.0,0.0,1,6,1.0,0.0,4,192.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,386.0,1.0,5,3,5,1,1966.0,955,0,1,0,2,1,3,3,0,7742,4,66.0,3,0,5,3,0.0,3,1,0,0,19,0,6,5,2,0,3,0,1,4,8,0,1,6,955.0,0,1966,1966,1
50,794,676,0,1,3,0,4,0,182.0,0.0,2,6,0.0,1.0,2,612.0,1,2,2,4,0,4,3,12,13,4,3,0,2,2,6,388.0,2.0,5,0,5,1,1997.0,1470,0,1,2,5,1,3,3,0,13869,0,64.0,1,0,10,3,0.0,3,1,0,9,8,75,5,6,2,0,3,0,1,4,8,0,1,6,794.0,0,1997,1997,1
51,816,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,816.0,1,2,2,4,0,4,3,13,14,2,2,1,2,1,6,528.0,2.0,5,3,5,5,1985.0,1176,0,1,4,0,1,3,3,0,6240,4,52.0,3,360,9,4,0.0,3,3,400,11,3,0,5,6,2,0,3,0,1,4,8,0,1,6,816.0,112,1934,1950,0
52,816,0,0,1,2,2,4,1,104.0,712.0,3,2,1.0,0.0,2,0.0,0,8,2,4,0,4,1,13,14,4,3,0,1,1,6,516.0,2.0,5,3,5,4,1963.0,816,0,1,4,2,1,3,0,1,8472,0,110.0,1,0,15,4,0.0,3,1,0,7,9,0,4,5,2,0,3,0,1,4,8,0,0,5,816.0,106,1963,1963,4
53,1842,0,0,1,0,0,4,1,1810.0,0.0,2,6,2.0,0.0,0,32.0,1,2,2,4,0,4,2,14,15,4,2,1,1,0,6,894.0,3.0,5,0,5,1,1981.0,1842,1,1,2,2,1,2,2,0,50271,4,68.0,0,0,5,3,0.0,3,1,0,2,24,72,4,9,2,0,3,6,1,4,8,0,1,5,1842.0,857,1981,1987,0
54,1360,0,0,1,3,0,4,3,384.0,0.0,0,6,0.0,0.0,4,0.0,1,2,2,4,0,4,3,8,8,2,5,1,1,1,2,572.0,2.0,5,3,5,5,1962.0,1360,0,1,4,7,1,3,0,1,7134,4,60.0,3,0,13,3,0.0,3,1,0,4,12,50,4,5,2,0,3,0,1,4,8,0,1,6,384.0,0,1955,1955,1
55,1425,0,407,1,3,0,4,3,490.0,0.0,1,6,0.0,0.0,4,935.0,1,2,2,4,0,4,3,6,10,4,2,1,1,2,6,576.0,2.0,5,2,5,1,1964.0,1425,0,1,2,2,1,3,3,0,10175,4,100.0,0,0,5,3,272.0,2,1,0,9,12,0,4,6,2,0,3,0,1,4,8,0,1,7,1425.0,0,1964,1964,2
56,983,756,0,2,3,3,4,3,649.0,0.0,2,6,1.0,0.0,2,321.0,1,2,2,4,0,4,2,8,8,4,3,0,2,2,6,480.0,2.0,5,0,5,1,1999.0,1739,1,1,0,5,1,2,3,0,2645,4,24.0,3,0,2,1,456.0,2,1,0,10,21,0,4,8,2,0,3,0,1,0,8,0,1,7,970.0,115,1999,2000,3
57,860,860,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,860.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,565.0,2.0,5,2,5,1,2004.0,1720,1,1,0,5,1,2,3,0,11645,0,89.0,0,0,10,3,0.0,3,1,0,10,5,70,4,7,2,0,3,0,1,4,8,0,1,7,860.0,0,2004,2004,0
58,1426,1519,0,1,3,0,4,1,0.0,0.0,6,6,0.0,0.0,0,1410.0,1,2,2,4,37,4,0,12,13,4,2,1,2,3,6,641.0,3.0,5,0,5,3,2006.0,2945,1,1,0,5,1,2,1,0,13682,1,66.0,1,0,10,3,1031.0,2,1,0,1,22,0,4,10,2,0,3,0,3,5,6,0,1,10,1410.0,192,2006,2006,0
59,780,0,0,1,2,0,4,0,632.0,0.0,0,6,0.0,0.0,4,148.0,1,2,2,4,0,4,3,6,6,2,3,0,1,1,6,352.0,1.0,5,3,5,5,1973.0,780,0,1,0,2,1,3,0,0,7200,4,60.0,3,0,5,3,0.0,3,1,0,0,5,0,6,5,2,0,3,0,1,4,8,0,1,4,780.0,196,1972,1972,2
60,1158,0,0,1,3,0,4,3,941.0,0.0,0,6,1.0,0.0,2,217.0,1,5,2,4,0,4,3,12,13,4,3,0,2,1,6,576.0,2.0,5,3,5,5,2006.0,1158,1,1,0,2,1,2,3,0,13072,4,63.0,3,0,5,3,0.0,3,1,0,7,20,50,4,6,2,0,3,0,1,5,6,0,1,5,1158.0,0,2004,2004,0
61,581,530,0,1,3,0,0,3,0.0,0.0,6,6,0.0,0.0,4,530.0,0,2,2,4,144,4,3,8,8,4,3,0,0,1,6,288.0,1.0,5,3,5,5,1935.0,1111,0,1,4,4,1,1,3,0,7200,4,60.0,3,0,12,4,0.0,3,1,0,5,9,0,6,5,0,0,3,0,1,4,8,0,1,6,530.0,0,1920,1996,1
62,1370,0,0,1,2,4,1,2,24.0,0.0,2,6,0.0,0.0,2,1346.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,484.0,2.0,5,2,5,1,2006.0,1370,0,1,0,2,1,2,3,0,6442,4,44.0,0,0,0,3,178.0,4,1,0,1,16,49,4,8,2,0,3,0,1,4,8,0,1,6,1370.0,120,2006,2006,1
63,902,808,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,576.0,1,6,1,4,64,4,3,11,12,0,3,0,0,2,6,480.0,2.0,5,3,5,5,1990.0,1710,0,1,2,5,1,3,0,0,10300,4,50.0,0,0,11,4,0.0,3,1,0,6,17,11,5,7,2,0,3,0,1,4,8,0,1,9,576.0,12,1921,1950,4
64,1057,977,0,1,3,0,4,3,739.0,0.0,2,6,1.0,0.0,2,318.0,1,2,2,4,0,4,3,12,13,0,3,0,2,2,6,645.0,2.0,5,2,5,1,1998.0,2034,1,1,0,5,1,2,3,0,9375,4,70.0,3,0,10,3,573.0,2,1,0,4,5,36,4,7,2,0,3,0,1,4,8,0,1,8,1057.0,576,1997,1998,3
65,1143,1330,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1143.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,852.0,3.0,5,2,5,3,2004.0,2473,1,1,0,5,1,2,3,0,9591,4,76.0,3,0,10,3,344.0,2,1,0,1,16,151,4,8,2,0,3,0,1,4,8,0,1,9,1143.0,192,2004,2005,1
66,2207,0,0,1,3,0,4,1,912.0,0.0,2,6,1.0,0.0,2,1035.0,1,3,2,4,0,4,3,9,10,4,2,1,1,2,2,576.0,2.0,5,2,5,1,1970.0,2207,0,1,4,2,1,3,3,0,19900,4,73.0,3,0,5,3,287.0,2,1,0,9,12,0,4,7,2,0,3,0,1,4,8,0,1,7,1947.0,301,1970,1989,4
67,1479,0,0,1,3,0,4,0,1013.0,0.0,2,6,1.0,0.0,2,440.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,558.0,2.0,5,2,5,1,2003.0,1479,0,1,0,2,1,2,3,0,10665,4,72.0,0,0,5,3,167.0,2,1,0,8,5,29,4,7,2,0,3,0,1,4,8,0,1,7,1453.0,144,2003,2003,1
68,747,0,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,747.0,1,0,2,4,0,2,3,8,8,4,3,0,1,1,6,220.0,1.0,5,3,5,1,1945.0,747,0,1,4,2,1,3,3,0,4608,0,47.0,3,0,6,4,0.0,3,1,0,8,17,0,5,4,2,0,3,0,1,4,8,0,1,4,747.0,0,1945,1950,4
